City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,santa luzia,-19.7697,-43.8514,25.5,69,0,0.0,BR,1700371075
188,mogocha,53.7333,119.7667,-2.92,57,10,1.06,RU,1700371075
189,tuncurry,-32.1667,152.5,22.35,71,70,2.68,AU,1700371076
190,kingston,17.997,-76.7936,27.53,83,20,3.09,JM,1700370852
191,weno,7.4515,151.8468,29.97,89,75,2.06,FM,1700371076
192,murzuq,25.9155,13.9184,15.19,44,0,3.3,LY,1700371077
193,monrovia,6.3005,-10.7969,22.87,87,74,1.1,LR,1700370852
194,caleta de carquin,-11.0925,-77.6267,19.48,82,100,3.74,PE,1700371077
195,lompoc,34.6391,-120.4579,16.23,87,100,3.6,US,1700371078
196,mbanza-ngungu,-5.25,14.8667,20.5,98,100,0.23,CD,1700371078
197,tahoua,14.8888,5.2692,22.85,20,94,4.95,NE,1700371078
198,tingi,-11.3,35.0333,22.7,67,23,3.3,TZ,1700371078
199,nuuk,64.1835,-51.7216,0.34,80,100,16.98,GL,1700371079
200,swan hill,-35.3378,143.5544,33.34,9,27,1.7,AU,1700371079
201,turpan,42.9333,89.1667,9.41,33,15,1.42,CN,1700371079
202,pokhara,28.2333,83.9833,21.74,54,37,2.31,NP,1700371080
203,west island,-12.1568,96.8225,28.99,65,40,5.66,CC,1700371071
204,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,98,100,5.81,RU,1700371080
205,freetown,8.484,-13.2299,26.13,82,70,1.43,SL,1700370809
206,talcahuano,-36.7167,-73.1167,8.82,93,0,0.0,CL,1700370884
207,kerrville,30.0474,-99.1403,15.51,87,100,1.54,US,1700371081
208,avarua,-21.2078,-159.775,24.03,69,100,6.17,CK,1700370861
209,lata,40.1629,-8.3327,14.95,92,33,1.07,PT,1700371081
210,bandarbeyla,9.4942,50.8122,27.63,70,79,5.82,SO,1700371081
211,barcelos,41.5388,-8.6151,14.08,93,3,1.92,PT,1700370680
212,sisimiut,66.9395,-53.6735,-0.74,82,97,11.05,GL,1700371082
213,chongjin,41.7956,129.7758,8.26,53,5,1.85,KP,1700371082
214,igarka,67.4667,86.5833,-18.76,95,100,4.33,RU,1700371082
215,mao,39.8885,4.2658,16.31,94,40,2.57,ES,1700371083
216,freeport,40.6576,-73.5832,6.66,60,0,4.63,US,1700371083
217,qaqortoq,60.7167,-46.0333,-0.51,99,100,1.7,GL,1700371084
218,khadki,18.5667,73.8667,28.21,46,22,3.94,IN,1700371084
219,arkhangel'sk,64.5401,40.5433,-4.93,92,83,4.27,RU,1700371084
220,bondo,3.8146,23.6866,21.83,99,100,0.73,CD,1700371084
221,shenjiamen,29.9576,122.298,14.69,37,0,2.91,CN,1700371085
222,praia da vitoria,38.7333,-27.0667,15.98,88,40,5.89,PT,1700371085
223,vielha,42.6846,0.7726,7.39,50,29,1.4,ES,1700371085
224,kaoma,-14.7833,24.8,23.23,28,52,3.01,ZM,1700371086
225,isiro,2.7739,27.616,20.3,99,100,0.85,CD,1700371086
226,khash,28.2211,61.2158,15.94,57,0,0.56,IR,1700371086
227,oliver,49.1831,-119.5524,1.95,80,91,2.06,CA,1700371086
228,kimbe,-5.5502,150.1429,29.44,71,38,1.09,PG,1700371087
229,port saint john's,-31.6229,29.5448,22.27,79,68,2.37,ZA,1700371087
230,lazaro cardenas,17.9583,-102.2,26.09,88,11,1.49,MX,1700371087
231,eldoret,0.5204,35.2699,15.97,83,76,4.11,KE,1700371088
232,keflavik,64.0049,-22.5624,0.24,86,75,2.57,IS,1700371088
233,al bawiti,28.3492,28.8659,17.15,72,0,5.43,EG,1700371088
234,la passe,45.5549,-0.8967,15.55,92,49,5.33,FR,1700371088
235,tamanrasset,22.785,5.5228,13.95,26,0,4.12,DZ,1700371047
236,iskateley,67.6803,53.1512,-14.99,97,57,3.58,RU,1700371089
237,georgetown,5.4112,100.3354,31.97,62,20,4.63,MY,1700370936
238,minas de marcona,-15.2119,-75.1103,14.12,85,79,4.13,PE,1700371090
239,taoudenni,22.6783,-3.9836,21.62,22,0,3.86,ML,1700371090
240,riohacha,11.5444,-72.9072,25.46,91,100,3.0,CO,1700371090
241,san antonio de pale,-1.4014,5.6325,25.01,92,100,4.67,GQ,1700371090
242,nashville,36.1659,-86.7844,8.17,67,0,1.54,US,1700371091
243,kremenets,50.0969,25.7246,-0.19,82,100,2.58,UA,1700371091
244,khoyniki,51.8911,29.9552,-3.31,82,75,1.77,BY,1700371091
245,holualoa,19.6228,-155.9522,23.91,75,40,3.09,US,1700371091
246,recani,31.2846,-4.2688,14.34,29,0,1.04,MA,1700371092
247,novodvinsk,64.4165,40.8122,-5.12,92,77,3.85,RU,1700370989
248,piet retief,-27.0071,30.8132,21.09,65,96,0.57,ZA,1700371092
249,el porvenir,13.7617,-87.3458,21.63,88,26,2.79,HN,1700371092
250,olonkinbyen,70.9221,-8.7187,0.07,97,100,2.2,SJ,1700371092
251,madimba,-10.4,40.3333,28.56,74,59,3.58,TZ,1700371093
252,mugia,43.1041,-9.2179,16.76,95,99,1.91,ES,1700371093
253,ola,59.5833,151.2833,-4.99,74,100,5.49,RU,1700371093
254,bosaso,11.2842,49.1816,28.37,69,36,2.29,SO,1700371093
255,al wajh,26.2455,36.4525,21.97,60,0,2.06,SA,1700371073
256,kwang binh,17.4833,106.6,22.54,71,96,5.25,VN,1700371094
257,ashburton,-37.8626,145.0794,26.58,62,66,1.79,AU,1700371095
258,hithadhoo,-0.6,73.0833,27.94,78,16,5.64,MV,1700371095
259,arteche,12.2645,125.4048,26.99,89,100,5.69,PH,1700371095
260,yorkton,51.2167,-102.4677,1.91,80,20,5.14,CA,1700371052
261,gualaceo,-2.9,-78.7833,13.57,92,98,0.92,EC,1700370967
262,mweka,-4.85,21.5667,21.13,100,100,0.74,CD,1700371096
263,eureka,40.8021,-124.1637,12.34,88,54,2.68,US,1700371096
264,pionerskiy,54.9508,20.2275,0.91,81,49,5.91,RU,1700371096
265,ketchikan,55.3422,-131.6461,4.99,93,100,6.17,US,1700371097
266,spring creek,40.7266,-115.5859,5.17,90,97,4.05,US,1700371097
267,trelew,-43.249,-65.3051,12.01,57,53,9.77,AR,1700371097
268,okakarara,-20.5833,17.4333,22.43,54,98,1.87,NA,1700371097
269,xilin hot,43.9667,116.0333,0.86,61,2,2.45,CN,1700371086
270,usogorsk,63.4106,48.6872,-8.52,94,100,3.9,RU,1700371098
271,callao,-12.0667,-77.15,19.29,82,0,3.09,PE,1700370946
272,kovdor,67.5662,30.4758,-18.72,99,44,1.5,RU,1700371098
273,linxia chengguanzhen,35.6003,103.2064,10.4,17,0,1.07,CN,1700371099
274,kerman,30.2832,57.0788,10.92,50,0,2.06,IR,1700371099
275,yeppoon,-23.1333,150.7333,22.88,92,100,6.18,AU,1700371099
276,sitka,57.0531,-135.33,2.94,81,100,4.12,US,1700371099
277,kalifornsky,60.4183,-151.29,-20.83,84,0,0.0,US,1700371100
278,ghat,24.9647,10.1728,14.9,37,0,0.89,LY,1700371100
279,harper,4.375,-7.7169,25.54,86,92,2.02,LR,1700370763
280,muynoq,43.7683,59.0214,8.68,63,81,3.49,UZ,1700371101
281,karratha,-20.7377,116.8463,35.55,32,39,5.77,AU,1700370853
282,vorgashor,67.5833,63.95,-28.61,100,96,1.23,RU,1700371073
283,barguzin,53.6167,109.6167,-2.97,89,95,2.85,RU,1700371102
284,flying fish cove,-10.4217,105.6791,27.82,74,100,5.66,CX,1700371095
285,east end,34.5507,-92.341,10.98,76,0,1.0,US,1700371102
286,jayapura,-2.5333,140.7,33.66,74,67,5.14,ID,1700371103
287,show low,34.2542,-110.0298,6.71,94,0,3.6,US,1700371103
288,rio san juan,19.6439,-70.0763,23.98,85,99,5.34,DO,1700371103
289,shubarshi,48.5872,57.1869,-1.03,60,6,3.05,KZ,1700371103
290,port alfred,-33.5906,26.891,18.43,97,100,3.04,ZA,1700371104
291,lebu,-37.6167,-73.65,9.56,89,37,1.8,CL,1700371104
292,apomu,7.3333,4.1833,25.92,95,95,0.69,NG,1700371104
293,tezu,27.9167,96.1667,27.33,42,3,1.56,IN,1700370907
294,kununurra,-15.7667,128.7333,39.99,29,40,2.57,AU,1700371105
295,severo-yeniseyskiy,60.3725,93.0408,-3.57,94,100,2.68,RU,1700371105
296,jiuquan,39.7432,98.5174,9.54,11,5,1.65,CN,1700370920
297,horta,38.5333,-28.6333,13.9,81,56,7.15,PT,1700371106
298,namibe,-15.1961,12.1522,24.9,73,99,4.39,AO,1700371068
299,bayramaly,37.6185,62.1671,13.86,45,7,6.3,TM,1700371106
300,fort bragg,35.139,-79.006,13.79,66,0,2.06,US,1700371107
301,ostersund,63.1792,14.6357,-12.75,92,100,1.03,SE,1700370829
302,touros,-5.1989,-35.4608,25.8,81,20,4.93,BR,1700371107
303,gorontalo,0.5412,123.0595,31.72,61,82,2.35,ID,1700370798
304,adelaide,-34.9333,138.6,28.29,41,0,7.72,AU,1700371104
305,koungheul,13.9833,-14.8,24.85,46,47,2.95,SN,1700371108
306,acarau,-2.8856,-40.12,26.18,83,45,5.12,BR,1700371109
307,mount pearl,47.5166,-52.7813,11.58,94,100,11.32,CA,1700371109
308,contai,21.7786,87.7536,27.4,56,60,3.79,IN,1700370910
309,iowa park,33.9515,-98.6687,13.3,84,0,4.12,US,1700371109
310,jumla,29.2747,82.1838,17.07,21,86,2.18,NP,1700371110
311,stanley,54.868,-1.6985,11.55,90,40,3.6,GB,1700370847
312,alappuzha,9.49,76.3264,30.56,77,100,0.92,IN,1700371060
313,sabha,27.0377,14.4283,14.1,51,0,4.02,LY,1700371110
314,acapulco de juarez,16.8634,-99.8901,28.9,79,20,1.54,MX,1700371111
315,launceston,-41.45,147.1667,23.8,33,87,8.75,AU,1700371026
316,tralee,52.2704,-9.7026,12.23,93,100,8.23,IE,1700371111
317,kingscliff,-28.2667,153.5667,24.85,64,84,5.14,AU,1700371111
318,rongelap,11.1635,166.8941,28.09,78,28,7.08,MH,1700371112
319,zalingei,12.9096,23.4741,20.7,24,100,2.35,SD,1700371112
320,lujan,-34.5703,-59.105,15.53,72,68,0.89,AR,1700371112
321,dakhla,23.6848,-15.958,21.8,46,0,4.38,EH,1700371060
322,howard springs,-12.497,131.047,36.1,53,93,5.32,AU,1700371113
323,cabo san lucas,22.8909,-109.9124,27.09,82,1,2.28,MX,1700371113
324,ambodifotatra,-16.9833,49.85,25.77,74,53,4.77,MG,1700371113
325,arvi,20.9833,78.2333,28.08,41,4,3.01,IN,1700371114
326,yarega,63.4354,53.5765,-10.07,92,99,3.86,RU,1700371114
327,caucasia,7.9865,-75.1935,23.67,98,100,1.25,CO,1700371114
328,dom pedro,-4.4833,-44.45,24.3,84,93,1.21,BR,1700371115
329,port macquarie,-31.4333,152.9167,23.83,62,35,6.98,AU,1700371104
330,trairi,-3.2778,-39.2689,26.12,84,46,3.78,BR,1700371115
331,fort st. john,56.2499,-120.8529,3.94,75,75,2.57,CA,1700371115
332,saint-joseph,-21.3667,55.6167,26.37,60,0,3.42,RE,1700371038
333,dodge city,37.7528,-100.0171,14.03,65,0,6.69,US,1700371116
334,estes park,40.3772,-105.5217,6.12,85,100,0.89,US,1700371116
335,lapeer,43.0514,-83.3188,4.3,75,0,0.0,US,1700371116
